LLM/sandbox/Gemini/_utils.py:1: unused import 'asyncio' (90% confidence, 1 line)
src/FoSpy/parsing/syntax.py:4: unused variable 'line_comment' (60% confidence, 1 line)
src/FoSpy/parsing/syntax.py:5: unused variable 'key_delimiter' (60% confidence, 1 line)
src/FoSpy/plotting/diffraction/engines/dans_diffraction.py:17: unused variable 'reflections' (60% confidence, 1 line)
src/FoSpy/ui/abstract.py:51: unused attribute 'sl_rows' (60% confidence, 1 line)
src/FoSpy/ui/pyqtgraph.py:125: unused attribute '_ctrl_col' (60% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:27: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:41: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:55: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:69: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:83: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:97: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:111: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:125: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:139: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:153: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:167: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:181: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:195: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_attachments.py:209: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:53: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:67: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:81: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:95: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:109: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:123: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:137: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:151: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:165: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:179: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:193: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:207: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:221: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:235: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:249: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:263: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:277: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:291: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:305: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:319: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:333: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:347: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:361: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:375: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:389: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:403: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:417: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:431: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:445: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:459: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:473: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:487: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:501: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:515: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:529: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:543: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:557: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:571: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:585: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:599: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:613: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:627: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:641: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:655: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:669: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:683: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:697: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:711: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:725: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:739: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:753: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:767: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:781: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blocks.py:795: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blockUtils.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/blocks/test_blockUtils.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blockUtils.py:26: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blockUtils.py:39: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blockUtils.py:52: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blockUtils.py:65: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blockUtils.py:78: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blockUtils.py:91: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_blockUtils.py:104: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:3: unused import 'FoSpy' (90% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:13: unused variable 'expected' (100% confidence, 1 line)
tests/FoSpy/blocks/test_containers.py:27: unused variable 'expected' (100% confidence, 1 line)
