src/FoSpy/parsing/syntax.py:4: unused variable 'line_comment' (60% confidence, 1 line)
src/FoSpy/parsing/syntax.py:5: unused variable 'key_delimiter' (60% confidence, 1 line)
src/FoSpy/plotting/diffraction/engines/dans_diffraction.py:17: unused variable 'reflections' (60% confidence, 1 line)
src/FoSpy/ui/abstract.py:51: unused attribute 'sl_rows' (60% confidence, 1 line)
src/FoSpy/ui/matplotlib.py:12: unused variable 'LEFT_MARGIN' (60% confidence, 1 line)
src/FoSpy/ui/matplotlib.py:13: unused variable 'RIGHT_MARGIN' (60% confidence, 1 line)
src/FoSpy/ui/matplotlib.py:17: unused variable 'PANEL_W' (60% confidence, 1 line)
src/FoSpy/ui/matplotlib.py:23: unused variable 'LABEL_LSHIFT' (60% confidence, 1 line)
src/FoSpy/ui/matplotlib.py:24: unused variable 'ROW_H' (60% confidence, 1 line)
src/FoSpy/ui/matplotlib.py:26: unused variable 'ROW_SPACING' (60% confidence, 1 line)
src/FoSpy/ui/matplotlib.py:28: unused variable 'OK_BTN_W' (60% confidence, 1 line)
src/FoSpy/ui/matplotlib.py:29: unused variable 'OK_BTN_H' (60% confidence, 1 line)
src/FoSpy/ui/pyqtgraph.py:124: unused attribute '_ctrl_col' (60% confidence, 1 line)
src/FoSpy/blocks/blocks.py:1875: unused method 'get_first' (60% confidence, 2 lines)
src/FoSpy/blocks/data.py:3: unused class 'TraceData' (60% confidence, 2 lines)
src/FoSpy/blocks/files.py:137: unused method 'check_attachments' (60% confidence, 2 lines)
src/FoSpy/blocks/synthesis.py:12: unused method 'insert_material' (60% confidence, 3 lines)
src/FoSpy/blocks/synthesis.py:16: unused method 'insert_treatment' (60% confidence, 3 lines)
src/FoSpy/blocks/treatments.py:67: unused method 'show_plot' (60% confidence, 3 lines)
src/FoSpy/blocks/treatments.py:71: unused method 'interactive_plot' (60% confidence, 3 lines)
src/FoSpy/blocks/_blockUtils.py:106: unused function '_show_quick_pattern' (60% confidence, 4 lines)
src/FoSpy/blocks/files.py:140: unused method 'matches_file' (60% confidence, 4 lines)
src/FoSpy/blocks/treatments.py:24: unused method 'example_calc' (60% confidence, 4 lines)
src/FoSpy/blocks/blocks.py:1306: unused method 'clear_comments' (60% confidence, 5 lines)
src/FoSpy/blocks/treatments.py:254: unused method 'add_all_missing_parameters' (60% confidence, 5 lines)
src/FoSpy/ui/matplotlib.py:31: unused function '_get_label_offset' (60% confidence, 5 lines)
src/FoSpy/_debug.py:66: unused function 'debug_status' (60% confidence, 6 lines)
src/FoSpy/config/__init__.py:46: unused function 'revert' (60% confidence, 6 lines)
src/FoSpy/ui/pyqtgraph.py:122: unused method 'next_ctrl_row' (60% confidence, 6 lines)
src/FoSpy/_debug.py:81: unused function 'all_debugs_off' (60% confidence, 7 lines)
src/FoSpy/blocks/materials.py:58: unused method 'add_all_MW' (60% confidence, 7 lines)
src/FoSpy/blocks/metadata.py:43: unused method 'add_nom_MW' (60% confidence, 8 lines)
src/FoSpy/config/__init__.py:36: unused function 'load_user' (60% confidence, 9 lines)
src/FoSpy/_dev/testing/_utils.py:41: unused function 'run_batch' (60% confidence, 10 lines)
src/FoSpy/config/__init__.py:53: unused function 'reset' (60% confidence, 11 lines)
src/FoSpy/json/utils.py:6: unused function 'block_from_file' (60% confidence, 12 lines)
src/FoSpy/blocks/attachments.py:237: unused method 'quick_pattern' (60% confidence, 13 lines)
src/FoSpy/blocks/blocks.py:1167: unused method 'add_all_calc_routines' (60% confidence, 15 lines)
src/FoSpy/blocks/blocks.py:142: unused method 'find_tempdir' (60% confidence, 17 lines)
src/FoSpy/blocks/blocks.py:773: unused method 'add_block' (60% confidence, 17 lines)
src/FoSpy/blocks/materials.py:66: unused method 'add_weight_pcts' (60% confidence, 17 lines)
src/FoSpy/blocks/blocks.py:122: unused function 'clear_comments' (60% confidence, 19 lines)
src/FoSpy/blocks/blocks.py:752: unused method 'add_comments' (60% confidence, 20 lines)
src/FoSpy/blocks/blocks.py:1263: unused method 'keys_to_end' (60% confidence, 21 lines)
src/FoSpy/blocks/blocks.py:1213: unused method 'keys_to_front' (60% confidence, 22 lines)
src/FoSpy/parsing/validators/filenames.py:48: unused function 'file_extension' (60% confidence, 22 lines)
src/FoSpy/blocks/blocks.py:993: unused method 'make_template' (60% confidence, 26 lines)
src/FoSpy/blocks/blocks.py:93: unused method 'add_comments' (60% confidence, 28 lines)
src/FoSpy/plotting/diffraction/phase_match/__init__.py:73: unused method 'plot_matches' (60% confidence, 29 lines)
src/FoSpy/blocks/blocks.py:1829: unused method 'remove_any' (60% confidence, 34 lines)
src/FoSpy/blocks/blocks.py:1312: unused method 'rename_block' (60% confidence, 36 lines)
src/FoSpy/blocks/blocks.py:1565: unused method 'remove_idx' (60% confidence, 36 lines)
src/FoSpy/blocks/data.py:6: unused class 'CSVdata' (60% confidence, 65 lines)
src/FoSpy/plotting/diffraction/phase_match/__init__.py:7: unused class 'PhaseMatcher' (60% confidence, 127 lines)
